000.001;
000.035;011.502;
000.035;011.502;
000.035;011.502;
000.035;011.502;
000.034;011.502;
000.034;011.504;
000.034;011.504;
000.033;011.504;
000.033;011.504;
000.033;011.504;
000.033;011.504;
000.033;011.504;
000.033;011.504;
000.034;011.504;
000.034;011.504;
000.034;011.504;
000.034;011.504;
000.034;011.504;
000.033;011.504;
000.033;011.504;
000.032;011.506;
000.032;011.506;
000.032;011.506;
000.032;011.506;
000.032;011.506;
000.032;011.506;
000.032;011.506;
000.033;011.506;
000.033;011.506;
000.032;011.506;
000.032;011.506;
000.032;011.506;
000.031;011.506;
000.031;011.506;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.031;011.508;
000.030;011.508;
000.030;011.508;
000.029;011.508;
000.029;011.510;
000.029;011.510;
000.029;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.029;011.510;
000.029;011.510;
000.030;011.510;
000.030;011.508;
000.030;011.508;
000.029;011.508;
000.028;011.510;
000.027;011.510;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.512;
000.028;011.510;
000.028;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.514;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.512;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.023;011.516;
000.022;011.516;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.022;011.518;
000.022;011.518;
000.021;011.518;
000.021;011.520;
000.021;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.022;011.520;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.021;011.518;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.022;011.518;
000.022;011.518;
000.021;011.518;
000.021;011.518;
000.021;011.520;
000.021;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.518;
000.022;011.518;
000.021;011.518;
000.021;011.518;
000.021;011.518;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.518;
000.021;011.518;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.518;
000.021;011.520;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.518;
000.021;011.518;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.518;
000.021;011.518;
000.021;011.518;
000.021;011.518;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.022;011.520;
000.022;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.024;011.518;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.512;
000.026;011.512;
000.026;011.512;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.512;
000.026;011.512;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.023;011.518;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.518;
000.022;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.518;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.516;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.022;011.516;
000.022;011.518;
000.021;011.518;
000.021;011.518;
000.021;011.518;
000.021;011.518;
000.021;011.518;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.516;
000.023;011.516;
000.022;011.518;
000.021;011.518;
000.021;011.518;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.021;011.518;
000.021;011.518;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.018;011.520;
000.018;011.520;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.018;011.522;
000.018;011.522;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.018;011.520;
000.017;011.520;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.018;011.522;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.018;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.021;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.518;
000.021;011.520;
000.021;011.520;
000.020;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.022;011.518;
000.023;011.518;
000.023;011.516;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.025;011.516;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.514;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.514;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.512;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.512;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.512;
000.028;011.512;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.510;
000.028;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.512;
000.028;011.510;
000.029;011.510;
000.029;011.510;
000.029;011.510;
000.029;011.510;
000.029;011.510;
000.028;011.510;
000.028;011.510;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.512;
000.029;011.510;
000.029;011.510;
000.029;011.510;
000.028;011.510;
000.028;011.510;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.028;011.512;
000.028;011.512;
000.028;011.512;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.027;011.514;
000.027;011.512;
000.027;011.512;
000.027;011.512;
000.026;011.512;
000.026;011.512;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.025;011.516;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.027;011.512;
000.026;011.512;
000.026;011.512;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.512;
000.026;011.512;
000.026;011.512;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.025;011.514;
000.026;011.514;
000.026;011.514;
000.026;011.514;
000.025;011.514;
000.025;011.514;
000.024;011.514;
000.023;011.516;
000.023;011.516;
000.023;011.516;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.023;011.518;
000.024;011.516;
000.024;011.516;
000.024;011.516;
000.023;011.516;
000.023;011.516;
000.022;011.518;
000.021;011.518;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.021;011.520;
000.022;011.520;
000.022;011.518;
000.022;011.518;
000.021;011.518;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.019;011.520;
000.020;011.520;
000.020;011.520;
000.020;011.520;
000.019;011.520;
000.018;011.520;
000.017;011.520;
000.017;011.522;
000.016;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.018;011.522;
000.018;011.522;
000.017;011.522;
000.017;011.522;
000.016;011.522;
000.015;011.524;
000.014;011.524;
000.014;011.526;
000.014;011.526;
000.015;011.526;
000.015;011.524;
000.015;011.524;
000.015;011.524;
000.015;011.524;
000.015;011.524;
000.016;011.524;
000.015;011.524;
000.015;011.524;
000.014;011.524;
000.013;011.526;
000.013;011.526;
000.012;011.528;
000.013;011.528;
000.013;011.528;
000.013;011.528;
000.013;011.526;
000.013;011.526;
000.013;011.526;
000.014;011.526;
000.014;011.526;
000.013;011.526;
000.013;011.526;
000.012;011.528;
000.011;011.528;
000.011;011.528;
000.011;011.530;
000.011;011.530;
000.011;011.530;
000.011;011.530;
000.011;011.530;
000.012;011.528;
000.012;011.528;
000.012;011.528;
000.012;011.528;
000.012;011.528;
000.011;011.528;
000.011;011.528;
000.010;011.530;
000.009;011.530;
000.009;011.532;
000.009;011.532;
000.009;011.532;
000.009;011.532;
000.009;011.532;
000.010;011.532;
000.010;011.530;
000.011;011.530;
000.011;011.530;
000.011;011.530;
000.010;011.530;
000.010;011.530;
000.009;011.530;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.009;011.532;
000.009;011.532;
000.010;011.532;
000.010;011.530;
000.011;011.530;
000.010;011.530;
000.010;011.530;
000.010;011.530;
000.009;011.530;
000.009;011.532;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.009;011.532;
000.009;011.532;
000.009;011.532;
000.010;011.532;
000.010;011.530;
000.011;011.530;
000.010;011.530;
000.010;011.530;
000.009;011.530;
000.009;011.532;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.008;011.532;
000.009;011.532;
000.009;011.532;
000.009;011.532;
000.009;011.532;
000.010;011.532;
000.011;011.530;
000.011;011.530;
000.011;011.528;
000.011;011.528;
000.011;011.530;
000.010;011.530;
000.010;011.530;
000.009;011.530;
000.009;011.532;
000.010;011.532;
000.010;011.530;
000.010;011.530;
000.010;011.530;
000.011;011.530;
000.012;011.530;
000.012;011.528;
000.012;011.528;
000.012;011.528;
000.012;011.528;
000.012;011.528;
000.011;011.528;
000.011;011.530;
000.011;011.530;
000.011;011.530;
000.011;011.530;
000.011;011.528;
000.012;011.528;
000.012;011.528;
000.013;011.528;
000.014;011.526;
000.014;011.526;
000.014;011.526;
000.014;011.526;
000.014;011.526;
000.013;011.526;
000.013;011.526;
000.013;011.526;
000.013;011.526;
000.014;011.526;
000.014;011.526;
000.014;011.526;
000.015;011.526;
000.015;011.524;
000.016;011.524;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.017;011.522;
000.016;011.522;
000.016;011.524;
000.016;011.524;
000.016;011.524;
000.016;011.522;
000.017;011.522;
000.017;011.522;
000.018;011.522;
000.018;011.522;
000.019;011.520;
000.019;011.520;
000.019;011.520;
