-000.015;
000.004;011.682;
000.004;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.004;011.682;
000.004;011.682;
000.004;011.682;
000.004;011.682;
000.004;011.682;
000.005;011.682;
000.005;011.682;
000.005;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.007;011.682;
000.007;011.682;
000.007;011.682;
000.007;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.010;011.682;
000.010;011.680;
000.010;011.680;
000.011;011.680;
000.011;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.013;011.680;
000.013;011.680;
000.013;011.680;
000.013;011.680;
000.013;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.013;011.680;
000.013;011.680;
000.013;011.680;
000.014;011.680;
000.014;011.680;
000.015;011.680;
000.015;011.680;
000.016;011.680;
000.016;011.680;
000.016;011.680;
000.016;011.680;
000.016;011.680;
000.016;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.017;011.680;
000.018;011.680;
000.018;011.680;
000.019;011.680;
000.019;011.680;
000.020;011.680;
000.020;011.680;
000.020;011.680;
000.020;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.022;011.680;
000.022;011.680;
000.022;011.680;
000.022;011.680;
000.022;011.680;
000.023;011.680;
000.023;011.680;
000.024;011.680;
000.024;011.680;
000.024;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.026;011.680;
000.026;011.680;
000.026;011.680;
000.026;011.680;
000.026;011.680;
000.026;011.680;
000.026;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.028;011.680;
000.028;011.680;
000.029;011.680;
000.029;011.680;
000.029;011.680;
000.029;011.680;
000.029;011.680;
000.029;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.029;011.680;
000.029;011.680;
000.029;011.680;
000.029;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.028;011.680;
000.027;011.680;
000.027;011.680;
000.027;011.680;
000.026;011.680;
000.026;011.680;
000.026;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.025;011.680;
000.024;011.680;
000.024;011.680;
000.023;011.680;
000.023;011.680;
000.022;011.680;
000.022;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.021;011.680;
000.020;011.680;
000.020;011.680;
000.020;011.680;
000.020;011.680;
000.019;011.680;
000.020;011.680;
000.019;011.680;
000.019;011.680;
000.019;011.680;
000.018;011.680;
000.018;011.680;
000.017;011.680;
000.017;011.680;
000.016;011.680;
000.016;011.680;
000.015;011.680;
000.015;011.680;
000.015;011.680;
000.014;011.680;
000.014;011.680;
000.014;011.680;
000.013;011.680;
000.013;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.011;011.680;
000.011;011.680;
000.010;011.680;
000.010;011.680;
000.009;011.680;
000.009;011.682;
000.008;011.682;
000.008;011.682;
000.007;011.682;
000.007;011.682;
000.007;011.682;
000.006;011.682;
000.006;011.682;
000.005;011.682;
000.005;011.682;
000.004;011.682;
000.004;011.682;
000.003;011.682;
000.003;011.682;
000.002;011.682;
000.002;011.682;
000.002;011.682;
000.001;011.682;
000.001;011.682;
000.001;011.682;
000.000;011.682;
000.000;011.682;
000.000;011.682;
-000.000;011.682;
-000.000;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.002;011.684;
-000.003;011.684;
-000.003;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.008;011.684;
-000.008;011.684;
-000.009;011.684;
-000.010;011.684;
-000.010;011.686;
-000.010;011.686;
-000.011;011.686;
-000.011;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.014;011.686;
-000.015;011.686;
-000.016;011.686;
-000.016;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.019;011.686;
-000.019;011.686;
-000.020;011.686;
-000.020;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.024;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.024;011.688;
-000.024;011.688;
-000.024;011.688;
-000.024;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.023;011.688;
-000.023;011.688;
-000.023;011.688;
-000.022;011.688;
-000.022;011.688;
-000.022;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.021;011.688;
-000.020;011.688;
-000.020;011.688;
-000.019;011.688;
-000.019;011.686;
-000.019;011.686;
-000.019;011.686;
-000.019;011.686;
-000.020;011.686;
-000.019;011.688;
-000.019;011.686;
-000.019;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.018;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.016;011.686;
-000.016;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.014;011.686;
-000.014;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.011;011.686;
-000.011;011.686;
-000.011;011.686;
-000.011;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.009;011.686;
-000.009;011.684;
-000.008;011.684;
-000.008;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.003;011.684;
-000.003;011.684;
-000.002;011.684;
-000.002;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.001;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
000.000;011.684;
000.000;011.682;
000.000;011.682;
-000.000;011.682;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.005;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.008;011.684;
-000.008;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.010;011.684;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.011;011.686;
-000.011;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.015;011.686;
-000.015;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.017;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.017;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.016;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.016;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.013;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.014;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.012;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.012;011.686;
-000.012;011.686;
-000.012;011.686;
-000.011;011.686;
-000.011;011.686;
-000.011;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.009;011.686;
-000.009;011.684;
-000.009;011.684;
-000.008;011.684;
-000.008;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.005;011.684;
-000.005;011.684;
-000.004;011.684;
-000.004;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.002;011.684;
-000.002;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.002;011.684;
-000.002;011.684;
-000.001;011.684;
-000.001;011.684;
-000.001;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
-000.000;011.684;
000.000;011.684;
000.000;011.682;
000.000;011.682;
000.001;011.682;
000.001;011.682;
000.001;011.682;
000.002;011.682;
000.002;011.682;
000.002;011.682;
000.002;011.682;
000.002;011.682;
000.002;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.004;011.682;
000.004;011.682;
000.004;011.682;
000.005;011.682;
000.005;011.682;
000.005;011.682;
000.005;011.682;
000.005;011.682;
000.005;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.006;011.682;
000.007;011.682;
000.007;011.682;
000.007;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.009;011.682;
000.009;011.682;
000.009;011.682;
000.010;011.682;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.012;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.011;011.680;
000.010;011.680;
000.010;011.680;
000.010;011.680;
000.009;011.680;
000.009;011.682;
000.009;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.008;011.682;
000.007;011.682;
000.007;011.682;
000.007;011.682;
000.006;011.682;
000.006;011.682;
000.005;011.682;
000.005;011.682;
000.004;011.682;
000.004;011.682;
000.004;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.003;011.682;
000.002;011.682;
000.002;011.682;
000.002;011.682;
000.001;011.682;
000.001;011.682;
000.001;011.682;
000.000;011.682;
000.000;011.682;
-000.000;011.682;
-000.000;011.684;
-000.000;011.684;
-000.001;011.684;
-000.001;011.684;
-000.002;011.684;
-000.002;011.684;
-000.002;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.003;011.684;
-000.004;011.684;
-000.004;011.684;
-000.005;011.684;
-000.005;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.007;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.010;011.684;
-000.010;011.686;
-000.010;011.686;
-000.011;011.686;
-000.011;011.686;
-000.012;011.686;
-000.012;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.013;011.686;
-000.014;011.686;
-000.014;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
-000.015;011.686;
